map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG913042	Pv_TOG913042	TOG913042	66.1	66.1	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG894880	Pv_TOG894880	TOG894880	66.1	66.1	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG895760	Pv_TOG895760	TOG895760	66.1	66.1	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG905363	Pv_TOG905363	TOG905363	64.5	64.5	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG894248	Pv_TOG894248	TOG894248	64.5	64.5	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG917794	Pv_TOG917794	TOG917794	64.5	64.5	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG900046	Pv_TOG900046	TOG900046	64.5	64.5	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG894022	Pv_TOG894022	TOG894022	63.7	63.7	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG901096	Pv_TOG901096	TOG901096	63.7	63.7	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG901933	Pv_TOG901933	TOG901933	62.9	62.9	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG908804	Pv_TOG908804	TOG908804	62.9	62.9	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG899668	Pv_TOG899668	TOG899668	62.9	62.9	SNP			0	
PvCookUCDavis2009_PvLG01	PvLG01	0	66.1	PvCookUCDavis2009_PvLG01_Pv_TOG895505	Pv_TOG895505	TOG895505	61.3	61.3	SNP			0	
